WELL_ID,WELL_NAME,WELL_TYPE,HOST_WELL_ID,STATUS,NORTHING,EASTING,SORT_NAME
C7287,C7287,BORING,,DECOMMISSIONED-V,135712.81,566253.99,9-C7287-C7287A-A0001A
C6805,C6805,BORING,,DECOMMISSIONED-V,134399.08,573645.04,9-C6805-C6805A-A0001A
C6812,C6812,BORING,,DECOMMISSIONED-V,134397.87,573644.18,9-C6812-C6812A-A0001A
C7574,299-W15-226,GROUNDWATER WELL,,IN-USE,136450.23,566033.3,1-0299-W0015A-A0226A
C8204,299-E26-14,GROUNDWATER WELL,,IN-USE,137264.5,575786.45,1-0299-E0026A-A0014A
C6698,C6698,BORING,,DECOMMISSIONED-V,137882.47,575538.16,9-C6698-C6698A-A0001A
C6699,C6699,BORING,,DECOMMISSIONED-V,135476.32,566539.32,9-C6699-C6699A-A0001A
C6700,C6700,BORING,,DECOMMISSIONED-V,135478.43,566542.28,9-C6700-C6700A-A0001A
C7183,C7183,BORING,,DECOMMISSIONED-V,134271.96,566752.62,9-C7183-C7183A-A0001A
C7576,299-W17-2,GROUNDWATER WELL,,IN-USE,135806.21,566951.64,1-0299-W0017A-A0002A
C7579,699-43-67,GROUNDWATER WELL,,IN-USE,136560.41,569369.88,1-0699-A0043-A0067A
C6726,C6726,BORING,,DECOMMISSIONED-V,137881.96,575538.11,9-C6726-C6726A-A0001A
C6743,C6743,BORING,,DECOMMISSIONED-V,136440.23,573165.55,9-C6743-C6743A-A0001A
C6757,C6757,BORING,,DECOMMISSIONED-V,134441.55,573212.92,9-C6757-C6757A-A0001A
C6759,C6759,SOIL TUBE,,DECOMMISSIONED-V,134441,573214.59,9-C6759-C6759A-A0001A
C7202,C7202,BORING,,DECOMMISSIONED-V,135639.858,566129.658,9-C7202-C7202A-A0001A
C7205,C7205,BORING,,DECOMMISSIONED-V,135639.849,566147.706,9-C7205-C7205A-A0001A
C7214,C7214,BORING,,DECOMMISSIONED-V,135639.988,566216.125,9-C7214-C7214A-A0001A
C7218,C7218,BORING,,DECOMMISSIONED-V,135640.219,566246.625,9-C7218-C7218A-A0001A
C7219,C7219,BORING,,DECOMMISSIONED-V,135640.22,566254.216,9-C7219-C7219A-A0001A
C7223,C7223,BORING,,DECOMMISSIONED-V,135640.102,566279.848,9-C7223-C7223A-A0001A
C7237,C7237,BORING,,DECOMMISSIONED-V,135632.096,566214.026,9-C7237-C7237A-A0001A
C7239,C7239,BORING,,DECOMMISSIONED-V,135632.181,566229.181,9-C7239-C7239A-A0001A
D0655,299-W18-264,GROUNDWATER WELL,,IN-USE,135460.937,566088.644,1-0299-W0018A-A0264A
D0669,D0669,PROPOSED SITE,,AWAITING DRILLING,135057.1787,566842.0173,9-D0669-D0669A-A0001A
D0680,D0680,PROPOSED SITE,,AWAITING DRILLING,134998.6391,566865.3686,9-D0680-D0680A-A0001A
