,Unnamed: 0,row,col,x,y,row_col_id,s_mw_uumu,s_ext_uumu,s_mw_lucr,s_ext_lucr,s_cr_cs,s_tec_cs,s_ctet_cs,NORTHING,EASTING,FID,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,ctet_uumu_tdg_s,ctet_lucr_tdg_s,hcr_uumu_tdg_s,hcr_lucr_tdg_s,tec_uumu_tdg_s,tec_lucr_tdg_s
85,85,40,35,564350.0,138850.0,10400035,4,0,4,0,0,0,0,138850.0,564350.0,85,3,2,2,1,3,2,4,3,3,2,2,1,0.0,0.0,0.0,0,0.0,0.0,9.0,7.0,9.0,11.0,9.0,7
86,86,40,36,564450.0,138850.0,10400036,4,0,4,0,0,0,0,138850.0,564450.0,86,3,2,2,2,3,2,4,3,3,2,2,1,0.0,0.0,0.0,0,0.0,0.0,9.0,8.0,9.0,11.0,9.0,7
87,87,40,37,564550.0,138850.0,10400037,4,0,4,0,0,0,0,138850.0,564550.0,87,3,2,3,2,3,2,4,3,3,2,2,1,0.0,0.0,0.0,0,0.0,0.0,9.0,9.0,9.0,11.0,9.0,7
88,88,40,38,564650.0,138850.0,10400038,4,0,4,0,0,0,0,138850.0,564650.0,88,3,2,3,2,3,2,4,3,2,2,2,1,0.0,0.0,0.0,0,0.0,0.0,9.0,9.0,9.0,11.0,8.0,7
89,89,40,39,564750.0,138850.0,10400039,4,0,4,0,0,0,0,138850.0,564750.0,89,3,2,3,2,3,2,4,3,2,2,1,1,0.0,0.0,0.0,0,0.0,0.0,9.0,9.0,9.0,11.0,8.0,6
90,90,40,40,564850.0,138850.0,10400040,4,0,4,0,0,0,0,138850.0,564850.0,90,3,2,3,2,3,2,4,3,2,2,1,1,0.0,0.0,0.0,0,0.0,0.0,9.0,9.0,9.0,11.0,8.0,6
91,91,40,41,564950.0,138850.0,10400041,4,0,4,0,0,0,0,138850.0,564950.0,91,3,2,3,2,3,3,4,3,2,2,1,1,0.0,0.0,0.0,0,0.0,0.0,9.0,9.0,10.0,11.0,8.0,6
92,92,40,42,565050.0,138850.0,10400042,4,0,4,0,0,0,0,138850.0,565050.0,92,2,2,3,2,3,3,4,3,2,2,1,1,0.0,0.0,0.0,0,0.0,0.0,8.0,9.0,10.0,11.0,8.0,6
93,93,40,43,565150.0,138850.0,10400043,4,0,4,0,0,0,0,138850.0,565150.0,93,2,2,3,2,3,3,4,3,2,2,1,1,0.0,0.0,0.0,0,0.0,0.0,8.0,9.0,10.0,11.0,8.0,6
94,94,40,44,565250.0,138850.0,10400044,3,0,4,0,0,0,0,138850.0,565250.0,94,2,2,3,2,3,3,4,3,1,2,1,1,0.0,0.0,0.0,0,0.0,0.0,7.0,9.0,9.0,11.0,6.0,6
95,95,40,45,565350.0,138850.0,10400045,3,0,4,0,0,0,0,138850.0,565350.0,95,2,2,4,2,3,3,4,3,1,2,1,1,0.0,0.0,0.0,0,0.0,0.0,7.0,10.0,9.0,11.0,6.0,6
96,96,40,46,565450.0,138850.0,10400046,3,0,4,0,0,0,0,138850.0,565450.0,96,2,2,4,2,3,3,4,3,1,2,1,1,0.0,0.0,0.0,0,0.0,0.0,7.0,10.0,9.0,11.0,6.0,6
97,97,40,47,565550.0,138850.0,10400047,3,0,4,0,0,0,0,138850.0,565550.0,97,2,2,4,2,3,3,4,3,1,2,1,1,0.0,0.0,0.0,0,0.0,0.0,7.0,10.0,9.0,11.0,6.0,6
98,98,40,48,565650.0,138850.0,10400048,2,0,4,0,0,0,0,138850.0,565650.0,98,1,1,3,2,3,3,4,3,1,2,1,1,0.0,0.0,0.0,0,0.0,0.0,4.0,9.0,8.0,11.0,5.0,6
99,99,40,49,565750.0,138850.0,10400049,2,0,4,0,0,0,0,138850.0,565750.0,99,1,1,3,2,3,3,4,3,0,2,1,1,0.0,0.0,0.0,0,0.0,0.0,4.0,9.0,8.0,11.0,4.0,6
100,100,40,50,565850.0,138850.0,10400050,2,0,4,0,0,0,0,138850.0,565850.0,100,1,1,3,2,3,3,4,3,0,2,1,0,0.0,0.0,0.0,0,0.0,0.0,4.0,9.0,8.0,11.0,4.0,5
101,101,40,51,565950.0,138850.0,10400051,3,0,4,0,0,0,0,138850.0,565950.0,101,1,1,3,2,2,3,4,3,0,2,1,0,0.0,0.0,0.0,0,0.0,0.0,5.0,9.0,8.0,11.0,5.0,5
