row,col,FID,Shape,x,y,row_col_id,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score
73,96,2852,Point,570450,135550,10730096,3,3,2,0,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,4,1.0
73,97,2853,Point,570550,135550,10730097,3,3,2,0,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,4,1.0
73,98,2854,Point,570650,135550,10730098,3,3,2,0,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,3,1.0
73,99,2855,Point,570750,135550,10730099,3,3,2,0,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,3,1.0
73,100,2856,Point,570850,135550,10730100,3,4,2,1,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,3,1.0
73,101,2857,Point,570950,135550,10730101,2,4,2,1,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,2,1.0
73,102,2858,Point,571050,135550,10730102,2,4,2,1,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,1,1.0
73,103,2859,Point,571150,135550,10730103,1,4,2,1,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,2,1.0
73,104,2860,Point,571250,135550,10730104,0,3,2,1,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,2,1.0
73,105,2861,Point,571350,135550,10730105,0,3,2,1,3,3,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,2,1.0
73,106,2862,Point,571450,135550,10730106,0,2,2,1,3,3,4,3,2,0,0.0,0.0,0.0,0,0.0,0.0,2,1.0
