,row,col,x,y,row_col_id,s_mw_uumu,dist_m_mw_uumu,mw_near_mw_uumu,s_ext_uumu,dist_m_ew_uumu,ew_near_ew_uumu,s_mw_lucr,dist_m_mw_lucr,mw_near_mw_lucr,s_ext_lucr,dist_m_ew_lucr,ew_near_ew_lucr,s_cr_cs,neardist_m_cr_cs,cl_dist_m_cr_cs,combdist_m_cr_cs,plycnt_cr_cs,raw_s_cr_cs,s_tec_cs,neardist_m_tec_cs,cl_dist_m_tec_cs,combdist_m_tec_cs,plycnt_tec_cs,raw_s_tec_cs,s_ctet_cs,neardist_m_ctet_cs,cl_dist_m_ctet_cs,combdist_m_ctet_cs,plycnt_ctet_cs,raw_s_ctet_cs,NORTHING,EASTING
53,39,85,569350.0,138950.0,10390085,4,1312.693356758171,699-48-71,0,1921.9541453947502,299-W5-1,4,1449.3347609506827,699-46-70,0,1131.7466667501042,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,569350.0
54,39,86,569450.0,138950.0,10390086,4,1230.5011558158142,699-51-63,0,1976.8565291897305,299-W5-1,4,1497.0428348246967,699-46-70,0,1208.5207973799907,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,569450.0
55,39,87,569550.0,138950.0,10390087,4,1131.9245091719015,699-51-63,0,2035.1942750017924,299-W5-1,4,1549.742962332772,699-46-70,0,1288.485357968792,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,569550.0
56,39,88,569650.0,138950.0,10390088,4,1033.6213496556877,699-51-63,0,2096.6806473566917,299-W5-1,4,1585.5191455166878,699-45-65,0,1371.0822432297643,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,569650.0
57,39,89,569750.0,138950.0,10390089,4,935.6778796487822,699-51-63,0,2161.046907635297,299-W5-1,4,1566.4312818633246,699-45-65,0,1455.86349555855,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,569750.0
58,39,90,569850.0,138950.0,10390090,4,838.2201944978636,699-51-63,0,2228.0434773585735,299-W5-1,4,1553.5581613830839,699-45-65,0,1542.4689681481302,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,569850.0
59,39,91,569950.0,138950.0,10390091,3,741.4398791972493,699-51-63,0,2297.4402575475356,299-W5-1,4,1547.0549314099997,699-45-65,0,1630.608020862143,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,569950.0
60,39,92,570050.0,138950.0,10390092,3,645.6416145695899,699-51-63,0,2369.0263267849286,299-W5-1,4,1547.0019265663534,699-45-65,0,1720.0449173495301,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,570050.0
61,39,93,570150.0,138950.0,10390093,2,551.3375503845374,699-51-63,0,2442.609206770517,299-W5-1,4,1553.3998071327353,699-45-65,0,1810.5873405334382,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,570150.0
62,39,94,570250.0,138950.0,10390094,2,459.4486853436602,699-51-63,0,2518.0138476585266,299-W5-1,4,1566.1695185387914,699-45-65,0,1902.077421584081,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,570250.0
63,39,95,570350.0,138950.0,10390095,1,371.7702172902141,699-51-63,0,2595.0814509375427,299-W5-1,4,1585.1570776424776,699-45-65,0,1994.3847466574607,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,570350.0
64,39,96,570450.0,138950.0,10390096,1,292.11828847918497,699-51-63,0,2673.6682174495973,299-W5-1,4,1610.142528101177,699-45-65,0,2087.400900090814,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,570450.0
65,39,97,570550.0,138950.0,10390097,1,229.0264056042527,699-51-63,0,2753.6440832104845,299-W5-1,4,1640.851900934408,699-45-65,0,2181.0351940534883,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,570550.0
66,39,98,570650.0,138950.0,10390098,0,198.9298732317472,699-51-63,0,2834.8914859303018,299-W5-1,4,1676.9707692145591,699-45-65,0,2275.2113127575503,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,570650.0
67,39,99,570750.0,138950.0,10390099,1,216.0858497541992,699-51-63,0,2917.3041900014673,299-W5-1,4,1667.1104157103644,699-46-61B,0,2369.8646623172244,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,570750.0
68,39,100,570850.0,138950.0,10390100,1,271.6856537691854,699-51-63,0,3000.786186485155,299-W5-1,4,1627.9083936665454,699-46-61B,0,2464.9402665581833,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,570850.0
69,39,101,570950.0,138950.0,10390101,1,347.75435937452323,699-51-63,0,3085.2506765253493,299-W5-1,4,1594.024572636821,699-46-61B,0,2560.3910868654275,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,570950.0
70,39,102,571050.0,138950.0,10390102,2,433.6508900763152,699-51-63,0,3170.619140956562,299-W5-1,4,1565.8042464401506,699-46-61B,0,2656.1766729078704,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,571050.0
71,39,103,571150.0,138950.0,10390103,2,524.5694372187306,699-51-63,0,3256.8204950534396,299-W5-1,4,1543.558077355697,699-46-61B,0,2752.2620728593274,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,571150.0
72,39,104,571250.0,138950.0,10390104,3,618.2985480040942,699-51-63,0,3343.7903249157434,299-W5-1,4,1527.5470985112124,699-46-61B,0,2848.616948222403,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,571250.0
