,row,col,x,y,row_col_id,s_mw_uumu,s_ext_uumu,s_mw_lucr,s_ext_lucr,s_cr_cs,s_tec_cs,s_ctet_cs,NORTHING,EASTING
250,42,36,564450.0,138650.0,10420036,4,0,4,0,0,0,0,138650.0,564450.0
251,42,37,564550.0,138650.0,10420037,4,0,4,0,0,0,0,138650.0,564550.0
252,42,38,564650.0,138650.0,10420038,4,0,4,0,0,0,0,138650.0,564650.0
253,42,39,564750.0,138650.0,10420039,4,0,4,0,0,0,0,138650.0,564750.0
254,42,40,564850.0,138650.0,10420040,4,0,4,0,0,0,0,138650.0,564850.0
255,42,41,564950.0,138650.0,10420041,4,0,4,0,0,0,0,138650.0,564950.0
256,42,42,565050.0,138650.0,10420042,4,0,4,0,0,0,0,138650.0,565050.0
257,42,43,565150.0,138650.0,10420043,3,0,4,0,0,0,0,138650.0,565150.0
258,42,44,565250.0,138650.0,10420044,3,0,4,0,0,0,0,138650.0,565250.0
259,42,45,565350.0,138650.0,10420045,2,0,4,0,0,0,0,138650.0,565350.0
260,42,46,565450.0,138650.0,10420046,2,0,4,0,0,0,0,138650.0,565450.0
261,42,47,565550.0,138650.0,10420047,2,0,4,0,0,0,0,138650.0,565550.0
262,42,48,565650.0,138650.0,10420048,1,0,4,0,0,0,0,138650.0,565650.0
263,42,49,565750.0,138650.0,10420049,1,0,4,0,0,0,0,138650.0,565750.0
264,42,50,565850.0,138650.0,10420050,1,0,4,0,0,0,0,138650.0,565850.0
265,42,51,565950.0,138650.0,10420051,2,0,4,0,0,0,0,138650.0,565950.0
266,42,52,566050.0,138650.0,10420052,2,0,4,0,0,0,0,138650.0,566050.0
267,42,53,566150.0,138650.0,10420053,2,0,4,0,0,0,0,138650.0,566150.0
268,42,54,566250.0,138650.0,10420054,2,0,3,0,0,0,0,138650.0,566250.0
269,42,55,566350.0,138650.0,10420055,2,0,3,0,0,0,0,138650.0,566350.0
270,42,56,566450.0,138650.0,10420056,2,0,2,0,0,0,0,138650.0,566450.0
271,42,57,566550.0,138650.0,10420057,2,0,2,0,0,0,0,138650.0,566550.0
272,42,58,566650.0,138650.0,10420058,2,0,2,0,0,0,0,138650.0,566650.0
273,42,59,566750.0,138650.0,10420059,1,0,1,0,0,0,0,138650.0,566750.0
274,42,60,566850.0,138650.0,10420060,1,0,1,0,0,0,0,138650.0,566850.0
275,42,61,566950.0,138650.0,10420061,1,0,1,0,0,0,0,138650.0,566950.0
276,42,62,567050.0,138650.0,10420062,1,0,1,0,0,0,0,138650.0,567050.0
277,42,63,567150.0,138650.0,10420063,1,0,1,0,0,0,0,138650.0,567150.0
278,42,64,567250.0,138650.0,10420064,0,0,1,0,0,0,0,138650.0,567250.0
279,42,65,567350.0,138650.0,10420065,0,0,2,0,0,0,0,138650.0,567350.0
280,42,66,567450.0,138650.0,10420066,0,0,2,0,0,0,0,138650.0,567450.0
281,42,67,567550.0,138650.0,10420067,0,0,3,0,0,0,0,138650.0,567550.0
282,42,68,567650.0,138650.0,10420068,1,0,3,0,0,0,0,138650.0,567650.0
283,42,69,567750.0,138650.0,10420069,1,0,4,0,0,0,0,138650.0,567750.0
284,42,70,567850.0,138650.0,10420070,2,0,4,0,0,0,0,138650.0,567850.0
285,42,71,567950.0,138650.0,10420071,2,0,4,0,0,0,0,138650.0,567950.0
286,42,72,568050.0,138650.0,10420072,3,0,4,0,0,0,0,138650.0,568050.0
287,42,73,568150.0,138650.0,10420073,3,0,4,0,0,0,0,138650.0,568150.0
288,42,74,568250.0,138650.0,10420074,3,0,4,0,0,0,0,138650.0,568250.0
289,42,75,568350.0,138650.0,10420075,2,0,4,0,0,0,0,138650.0,568350.0
290,42,76,568450.0,138650.0,10420076,2,0,4,0,0,0,0,138650.0,568450.0
291,42,77,568550.0,138650.0,10420077,3,0,4,0,0,0,0,138650.0,568550.0
292,42,78,568650.0,138650.0,10420078,3,0,4,0,0,0,0,138650.0,568650.0
293,42,79,568750.0,138650.0,10420079,3,0,4,0,0,0,0,138650.0,568750.0
294,42,80,568850.0,138650.0,10420080,3,0,4,0,0,0,0,138650.0,568850.0
295,42,81,568950.0,138650.0,10420081,4,0,4,0,0,0,0,138650.0,568950.0
296,42,82,569050.0,138650.0,10420082,4,0,4,0,0,0,0,138650.0,569050.0
297,42,83,569150.0,138650.0,10420083,4,0,4,0,0,0,0,138650.0,569150.0
298,42,84,569250.0,138650.0,10420084,4,0,4,0,0,0,0,138650.0,569250.0
299,42,85,569350.0,138650.0,10420085,4,0,4,0,0,0,0,138650.0,569350.0
