NAME,GWIA,easting_m_check,northing_m_check,Final_Assignment,HSU_source,elevation_m,tos_m,bos_m,mos_m,TYPE_scripts
299-W19-132,200-UP,567646.1,134691.91,UU/MU,CP-67635,212.306,126.385928,117.2084,121.797164,MONITORING
299-W19-134,200-UP,567630.02,135018.24,UU/MU,CP-67635,215.109,128.905464,109.093464,118.999464,EXTRACTION
299-W19-135,200-UP,567601.98,135006.96,UU/MU,CP-67635,215.102,129.36176,120.17204,124.7669,MONITORING
299-W19-136,200-UP,567703.414,134998.765,UU/MU,CP-67635,214.363,128.723344,119.5702,124.146772,MONITORING
299-W19-4,200-UP,567949.931,135350.792,UU/MU,SGW-38815,218.686,140.962,115.72456,128.34328,MONITORING
299-W19-6,200-UP,567133.33,134693.76,UU/MU,SGW-38815,209.585096,93.761096,84.312296,89.036696,MONITORING
299-W19-41,200-UP,566896.532,135004.51,UU/MU,SGW-38815,205.781,138.70976,128.014328,133.362044,MONITORING
299-W19-42,200-UP,566896.812,135122.901,UU/MU,SGW-38815,205.506,138.364656,127.669224,133.01694,MONITORING
299-W19-43,200-UP,567699.15,135004.02,UU/MU,SGW-38815,214.441,135.869656,125.219944,130.5448,MONITORING
299-W19-44,200-UP,566896.95,135041.97,UU/MU,SGW-38815,206.52,136.44648,125.77848,131.11248,MONITORING
299-W19-45,200-UP,566897.65,135087.65,UU/MU,SGW-38815,205.661,137.349224,126.708656,132.02894,MONITORING
299-W19-46,200-UP,567782.67,134842.46,UU/MU,SGW-38815,213.388,135.664,124.996,130.33,MONITORING
299-W19-47,200-UP,566895.31,135161.86,UU/MU,SGW-38815,205.551,136.34616,125.681208,131.013684,MONITORING
299-W19-48,200-UP,567822.93,134925.99,UU/MU,SGW-38815,212.132,132.2744,121.54544,126.90992,MONITORING
299-W19-49,200-UP,567568.04,134894.38,UU/MU,SGW-38815,213.427,134.343592,123.675592,129.009592,MONITORING
299-W20-1,200-UP,568219.97,135054.03,UU/MU,ECF-200ZP1-22-0098,214.811,130.097936,120.953936,125.525936,MONITORING
299-W21-2,200-UP,568124.39,134573.79,UU/MU,SGW-38815,214.136,134.84228,124.168184,129.505232,MONITORING
299-W21-3,200-UP,568570.76,133980.24,UU/MU,SGW-38815,212.812,119.866288,113.770288,116.818288,MONITORING
299-W22-9,200-UP,567740,134043,UU/MU,ECF-200ZP1-22-0098,207.5,140.5,116.4,128.4,MONITORING
299-W22-10,200-UP,567013,134215,UU/MU,ECF-200ZP1-22-0098,205.3,143.4,130.9,137.2,MONITORING
299-W22-20,200-UP,567593,133879,UU/MU,ECF-200ZP1-22-0098,207.1,144.6,116,130.3,MONITORING
299-W22-24P,200-UP,567648,134411,LU/CR,ECF-200ZP1-22-0098,211.5,40.2,38.7,39.4,MONITORING
299-W22-24R,200-UP,567648,134411,UU/MU,ECF-200ZP1-22-0098,211.5,79.8,78.3,79.1,MONITORING
299-W22-24S,200-UP,567648,134411,UU/MU,ECF-200ZP1-22-0098,211.5,98.1,96.6,97.3,MONITORING
299-W22-24T,200-UP,567648,134411,UU/MU,ECF-200ZP1-22-0098,211.5,116.4,114.9,115.6,MONITORING
299-W22-44,200-UP,566956,134484,UU/MU,ECF-200ZP1-22-0098,206.7,144.2,133,138.6,MONITORING
299-W22-45,200-UP,566945,134293,UU/MU,ECF-200ZP1-22-0098,203.1,142.8,131.9,137.3,MONITORING
299-W22-47,200-UP,566908.74,134076.28,UU/MU,SGW-38815,205.528,135.829384,125.158336,130.49386,MONITORING
299-W22-49,200-UP,566904,134202,UU/MU,ECF-200ZP1-22-0098,203.9,137.5,132.9,135.2,MONITORING
299-W22-50,200-UP,566904,134140,UU/MU,ECF-200ZP1-22-0098,204.1,137.7,133.1,135.4,MONITORING
299-W22-69,200-UP,567179.6,134347.83,UU/MU,SGW-38815,207.267,134.715456,124.04136,129.378408,MONITORING
299-W22-72,200-UP,567237.37,134207.08,UU/MU,SGW-38815,207.342,135.110496,124.4364,129.773448,MONITORING
299-W22-79,200-UP,567629.54,134464.846,UU/MU,SGW-38815,210.941,136.96604,126.359,131.66252,MONITORING
299-W22-80,200-UP,566842.851,134125.649,UU/MU,SGW-38815,199.974,137.480856,126.80676,132.143808,MONITORING
299-W22-81,200-UP,567000.263,134354.189,UU/MU,SGW-38815,205.909,136.7956,126.136744,131.466172,MONITORING
299-W22-82,200-UP,567004.731,134167.07,UU/MU,SGW-38815,206.127,137.21172,126.51324,131.86248,MONITORING
299-W22-83,200-UP,567009.082,134092.546,UU/MU,SGW-38815,206.338,137.36176,126.69376,132.02776,MONITORING
299-W22-84,200-UP,566978.76,134547.62,UU/MU,SGW-38815,207.793,137.0794,126.4114,131.7454,MONITORING
299-W22-85,200-UP,566902.9,134260.58,UU/MU,SGW-38815,203.682,137.503824,126.863256,132.18354,MONITORING
