Well_Name,GWIA,EASTING,NORTHING,Coordinate_Source,Elevation_m,TOS_m,BOS_m,MOS_m,Source_Elevation_Source,Top_of_RLM_m,Top_of_Rwia_m,Top_of_Basalt_m,HSU_Assignment,Misc_Notes,Flag_to_Check
299-W22-82,200-UP-1,567005,134167,HEIS Database,206.1,137.2,126.5,131.9,HEIS Database,65.9,41.8,30.7,UU/MU,None,FALSE
299-W22-83,200-UP-1,567009,134093,HEIS Database,206.3,137.4,126.7,132,HEIS Database,66.7,41.3,29.8,UU/MU,None,FALSE
299-W22-84,200-UP-1,566979,134548,HEIS Database,207.8,137.1,126.4,131.7,HEIS Database,68.8,52.6,35.6,UU/MU,None,FALSE
299-W22-85,200-UP-1,566903,134261,HEIS Database,203.7,137.5,126.9,132.2,HEIS Database,66,42.7,31.2,UU/MU,None,FALSE
299-W22-86,200-UP-1,567187,134041,HEIS Database,205.7,135.2,124.5,129.8,HEIS Database,68.9,45.7,30.4,UU/MU,None,FALSE
299-W22-87,200-UP-1,567542,134540,HEIS Database,211.3,135,124.3,129.7,HEIS Database,71.5,60.1,39.1,UU/MU,None,FALSE
299-W22-88,200-UP-1,568046,134391,HEIS Database,213.1,133.6,122.9,128.3,HEIS Database,76.1,67.6,36,UU/MU,None,FALSE
299-W22-89,200-UP-1,566907,134032,HEIS Database,205.5,135.1,124.4,129.8,HEIS Database,67.3,39.7,28.1,UU/MU,None,FALSE
299-W22-9,200-UP-1,567740,134043,HEIS Database,207.5,140.5,116.4,128.4,HEIS Database,70.4,59.4,32.3,UU/MU,None,FALSE
299-W22-90,200-UP-1,566961,134483,HEIS Database,207.1,131.6,119.4,125.5,HEIS Database,68.2,50.4,34.6,UU/MU,None,FALSE
299-W22-91,200-UP-1,566912,134135,HEIS Database,204.4,131.2,116,123.6,HEIS Database,65.4,39.9,29.5,UU/MU,None,FALSE
299-W22-92,200-UP-1,567168,134030,HEIS Database,205.6,132.4,118.7,125.6,HEIS Database,68.9,45.2,30.1,UU/MU,None,FALSE
299-W22-93,200-UP-1,566949,134486,HEIS Database,206.9,132.3,121.6,127,HEIS Database,68.2,50.3,34.6,UU/MU,None,FALSE
299-W22-94,200-UP-1,567010,134430,HEIS Database,207.3,133.2,122.5,127.8,HEIS Database,68.3,49.4,34.4,UU/MU,None,FALSE
299-W22-95,200-UP-1,567171,134549,HEIS Database,208.3,132.1,119.9,126,HEIS Database,70.8,55,37.2,UU/MU,None,FALSE
299-W22-96,200-UP-1,567352,134146,HEIS Database,208.5,133.7,124.6,129.2,HEIS Database,69,50.9,32.8,UU/MU,None,FALSE
299-W23-15,200-UP-1,566794,134127,HEIS Database,199.8,143.2,132,137.6,HEIS Database,66.5,40.1,28.4,UU/MU,None,FALSE
299-W23-19,200-UP-1,566759,134167,HEIS Database,202.5,138.5,129.1,133.8,HEIS Database,66.7,41,28.6,UU/MU,None,FALSE
299-W23-20,200-UP-1,566718,134446,HEIS Database,203.1,137.4,126.7,132.1,HEIS Database,67.8,48.4,31.9,UU/MU,None,FALSE
