NAME_norm,CTET_avg_conc,XCOORDS,YCOORDS,NAME,Final_Assignment
699-37-66,2.07,569730.32,134797.15,699-37-66,UU/MU
699-37-67,2.2,569520.26,134957.52,699-37-67,UU/MU
699-38-61,0.57,571219.097,134997.282,699-38-61,UU/MU
699-38-64B,0.58,569900.22,135319.93,699-38-64B,UU/MU
699-38-65,0.94,570090.185,135039.847,699-38-65,UU/MU
699-38-70B,15.4,568469.1,135331.04,699-38-70B,UU/MU
699-38-70C,25.6,569084.11,135325.58,699-38-70C,LU/CR
699-39-68,6.92,569077.9,135332.77,699-39-68,UU/MU
699-40-62,0.57,571164.26,135764.42,699-40-62,UU/MU
699-40-65,9.32,570057.48,135881.16,699-40-65,UU/MU
699-43-69,33.0,568967.03,136488.48,699-43-69,UU/MU
699-44-64,27.0,570390.65,136897.43,699-44-64,UU/MU
699-44-70B,136.0,568670.06,136810.37,699-44-70B,LU/CR
699-44-70C,30.8,568659.403,136809.374,699-44-70C,UU/MU
699-44-70C,30.8,568659.403,136809.374,699-44-70C,UU/MU
699-45-65,4.57,570000.82,137403.78,699-45-65,LU/CR
699-45-65,4.57,570000.82,137403.78,699-45-65,LU/CR
699-45-67C,13.2,569431.19,137131.75,699-45-67C,LU/CR
699-45-67C,13.2,569431.19,137131.75,699-45-67C,LU/CR
699-45-69C,23.3,568947.12,137233.81,699-45-69C,LU/CR
699-46-61,0.33,571431.17,137442.38,699-46-61,UU/MU
699-46-61,0.33,571431.17,137442.38,699-46-61,UU/MU
699-46-70,10.2,568697.17,137656.02,699-46-70,LU/CR
699-46-70,10.2,568697.17,137656.02,699-46-70,LU/CR
699-47-60,0.33,571474.38,137968.732,699-47-60,UU/MU
699-47-60,0.33,571474.38,137968.732,699-47-60,UU/MU
699-48-71,120.0,568387.914,138056.941,699-48-71,UU/MU
699-48-77C,5.4,566468.954,138086.801,699-48-77C,UU/MU
699-49-79,0.5,565771.123,138271.108,699-49-79,UU/MU
699-50-74,0.23,567359.52,138646.73,699-50-74,UU/MU
699-51-63,0.33,570664.4,139148.408,699-51-63,UU/MU
