FID,NAME,EASTING,NORTHING,HSU,TYPE_scripts
190,699-39-68,569077.9,135332.77,UU/MU,MONITORING
191,699-40-62,571164.26,135764.42,UU/MU,MONITORING
192,699-40-65,570057.48,135881.16,UU/MU,MONITORING
193,699-40-70A,567986.853,137401.816,LU/CR,EXTRACTION
194,699-43-69,568967.03,136488.48,UU/MU,MONITORING
195,699-44-64,570390.65,136897.43,UU/MU,MONITORING
196,699-44-70B,568670.06,136810.37,LU/CR,MONITORING
197,699-45-67C,569431.19,137131.75,LU/CR,MONITORING
198,699-45-69C,568947.12,137233.81,LU/CR,MONITORING
199,699-46-61,571431.17,137442.38,UU/MU,MONITORING
200,699-46-70,568697.17,137656.02,LU/CR,MONITORING
201,699-47-60,571474.38,137968.732,UU/MU,MONITORING
202,699-48-70,568501.64,138200.91,LU/CR,EXTRACTION
203,699-48-71,568387.914,138056.941,UU/MU,MONITORING
204,699-48-77C,566468.954,138086.801,UU/MU,MONITORING
205,699-49-79,565771.123,138271.108,UU/MU,MONITORING
206,699-50-74,567359.52,138646.73,UU/MU,MONITORING
207,699-51-63,570664.4,139148.408,UU/MU,MONITORING
208,299-W14-16,567001.334,136318.482,UU/MU,MONITORING
209,299-W15-40,566652.502,136204.971,UU/MU,MONITORING
210,299-W19-101,567939.14,135014.07,UU/MU,MONITORING
211,299-W19-132,567646.1,134691.91,UU/MU,MONITORING
212,299-W19-39,567901.739,134886.74,UU/MU,MONITORING
213,299-W19-43,567699.15,135004.02,UU/MU,MONITORING
214,299-W19-46,567782.67,134842.46,UU/MU,MONITORING
215,299-W21-3,568570.76,133980.24,UU/MU,MONITORING
216,299-W22-114,567726.31,134048.07,UU/MU,MONITORING
217,299-W22-123,567593.02,133914,UU/MU,MONITORING
218,299-W22-125,567028.506,134253.724,UU/MU,MONITORING
219,299-W22-69,567179.6,134347.83,UU/MU,MONITORING
220,299-W22-79,567629.54,134464.846,UU/MU,MONITORING
221,299-W22-82,567004.731,134167.07,UU/MU,MONITORING
222,299-W22-89,566906.77,134031.67,UU/MU,MONITORING
223,299-W22-96,567351.93,134145.58,UU/MU,MONITORING
224,299-W23-236,566798.66,134128.15,UU/MU,MONITORING
225,699-25-70,568544.855,131171.718,UU/MU,MONITORING
226,699-27-68,569324.76,131676.43,UU/MU,MONITORING
227,699-29-66,570053.53,132336.94,UU/MU,MONITORING
228,699-30-63,570716.9,132674.86,UU/MU,MONITORING
229,699-30-70,568428.93,132581.66,UU/MU,MONITORING
230,699-30-73,567781.9,132789.76,UU/MU,MONITORING
231,699-31-68,569598,133080.6,UU/MU,MONITORING
232,699-32-59,571800.08,133400.32,UU/MU,MONITORING
233,699-32-64,570451.01,133304.04,UU/MU,MONITORING
234,699-32-70B,568461.999,133242.245,UU/MU,MONITORING
235,699-33-74,567472.65,133552.16,UU/MU,MONITORING
236,699-34-72,567859.97,133785.33,UU/MU,MONITORING
237,299-W7-16,566085.14,137265.57,UU/MU,MONITORING
238,299-W10-20,566249.695,136866.607,UU/MU,MONITORING
239,299-W15-15,566088.805,135751.493,UU/MU,MONITORING
240,299-W17-1,565310.68,135038.74,UU/MU,MONITORING
241,299-W19-135,567601.98,135006.96,UU/MU,MONITORING
242,299-W19-136,567703.414,134998.765,UU/MU,MONITORING
243,299-W7-4,566408.771,137308.243,UU/MU,MONITORING
244,699-19-88,563131.105,129413.881,UU/MU,MONITORING
245,699-26-89,562778.695,131375.105,UU/MU,MONITORING
246,699-48-96,560516.991,138355.269,UU/MU,MONITORING
247,699-49-100C,559303.736,138503.233,UU/MU,MONITORING
248,299-W10-23,566823.729,136815.339,UU/MU,MONITORING
249,699-51-75,566978.076,138906.286,UU/MU,MONITORING
250,699-55-76,566723.421,140225.816,UU/MU,MONITORING
251,699-51-75P,566978.076,138906.286,LU/CR,MONITORING
