pw_id,row,col,x,y,outfile
PW-0996,51,43,565150.0,137750.0,data\breakthroughcurves\PW-0996_r0051_c0043.png
PW-1001,51,48,565650.0,137750.0,data\breakthroughcurves\PW-1001_r0051_c0048.png
PW-1006,51,53,566150.0,137750.0,data\breakthroughcurves\PW-1006_r0051_c0053.png
PW-1011,51,58,566650.0,137750.0,data\breakthroughcurves\PW-1011_r0051_c0058.png
PW-1016,51,63,567150.0,137750.0,data\breakthroughcurves\PW-1016_r0051_c0063.png
PW-1021,51,68,567650.0,137750.0,data\breakthroughcurves\PW-1021_r0051_c0068.png
PW-1026,51,73,568150.0,137750.0,data\breakthroughcurves\PW-1026_r0051_c0073.png
PW-1031,51,78,568650.0,137750.0,data\breakthroughcurves\PW-1031_r0051_c0078.png
PW-1036,51,83,569150.0,137750.0,data\breakthroughcurves\PW-1036_r0051_c0083.png
PW-1041,51,88,569650.0,137750.0,data\breakthroughcurves\PW-1041_r0051_c0088.png
PW-1046,51,93,570150.0,137750.0,data\breakthroughcurves\PW-1046_r0051_c0093.png
PW-1051,51,98,570650.0,137750.0,data\breakthroughcurves\PW-1051_r0051_c0098.png
PW-1056,51,103,571150.0,137750.0,data\breakthroughcurves\PW-1056_r0051_c0103.png
PW-1061,51,108,571650.0,137750.0,data\breakthroughcurves\PW-1061_r0051_c0108.png
PW-1066,51,113,572150.0,137750.0,data\breakthroughcurves\PW-1066_r0051_c0113.png
PW-1071,52,36,564450.0,137650.0,data\breakthroughcurves\PW-1071_r0052_c0036.png
PW-1076,52,41,564950.0,137650.0,data\breakthroughcurves\PW-1076_r0052_c0041.png
PW-1081,52,46,565450.0,137650.0,data\breakthroughcurves\PW-1081_r0052_c0046.png
PW-1086,52,51,565950.0,137650.0,data\breakthroughcurves\PW-1086_r0052_c0051.png
PW-1091,52,56,566450.0,137650.0,data\breakthroughcurves\PW-1091_r0052_c0056.png
PW-1096,52,61,566950.0,137650.0,data\breakthroughcurves\PW-1096_r0052_c0061.png
PW-1101,52,66,567450.0,137650.0,data\breakthroughcurves\PW-1101_r0052_c0066.png
PW-1106,52,71,567950.0,137650.0,data\breakthroughcurves\PW-1106_r0052_c0071.png
PW-1111,52,76,568450.0,137650.0,data\breakthroughcurves\PW-1111_r0052_c0076.png
PW-1116,52,81,568950.0,137650.0,data\breakthroughcurves\PW-1116_r0052_c0081.png
PW-1121,52,86,569450.0,137650.0,data\breakthroughcurves\PW-1121_r0052_c0086.png
PW-1126,52,91,569950.0,137650.0,data\breakthroughcurves\PW-1126_r0052_c0091.png
PW-1131,52,96,570450.0,137650.0,data\breakthroughcurves\PW-1131_r0052_c0096.png
PW-1136,52,101,570950.0,137650.0,data\breakthroughcurves\PW-1136_r0052_c0101.png
PW-1141,52,106,571450.0,137650.0,data\breakthroughcurves\PW-1141_r0052_c0106.png
